id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
333	-から,-こと,-って,-てい,-ている,-ない,-によって	東京電力は26日14時10分に報告していたが、その時点で事故から22時間経過していたことを大熊町は強く批判し、「地元をないがしろに場合によってはその信用を失ってもやむをえない」と述懐している。	▁東京 電 力は 26 日 14 時 10 分に 報告 するているたが 、 その 時点で 事故 から 22 時間 経過 するているた ことを 大 熊 町は 強い 批判する 、「 地元 を ない が しろ だ 場合 によって はその 信用 を 失う ても やむ を え ない 」 と 述 懐 するている 。	▁東京 電力は 26 日 14 時 10 分に 報告 するているたが 、 その時点で 事故 から 22 時間 経過 するているた ことを 大 熊 町は 強い 批判する 、「 地元 を ない が しろ だ 場合 によって はその 信用 を失う てもやむ を え ない 」 と 述 懐 するている 。	▁東京電力は 26 日 14 時 10 分に 報告 するているたが 、 その時点で 事故 から 22 時間 経過 するているた ことを 大 熊 町は 強い 批判する 、「 地元 を ない が しろ だ 場合 によって はその 信用 を失うてもやむを え ない 」 と 述 懐 するている 。	▁東京 電 力は 26 日 14 時 10 分に 報告 していたが 、 その 時点で 事故 から 22 時間 経過 していた ことを 大 熊 町は 強く 批判 し 、「 地元 を ない が しろ に 場合 によって はその 信用 を失 っても やむ を えない 」 と 述 懐 している 。	▁東京 電力は 26 日 14 時 10 分に 報告 していたが 、 その時点で 事故 から 22 時間 経過 していた ことを 大 熊 町は 強く 批判し 、「 地元 を ないが しろ に 場合 によって はその 信用 を失 っても やむ をえない 」 と 述 懐 している 。	▁東京電力は 26 日 14 時 10 分に 報告 していたが 、 その時点で 事故 から 22 時間 経過 していた ことを 大 熊 町は 強く 批判し 、「 地元をないが しろ に 場合 によって はその 信用 を失 っても やむをえない 」 と 述 懐 している 。
336	-から,-みたい	5月から少し値上げしたみたい。	▁5 月から 少し 値上げ するた みたいだ 。	▁5 月から 少し 値上げ するた みたいだ 。	▁5 月から少し 値上げ するた みたいだ 。	▁5 月から 少し 値上げ した みたい 。	▁5 月から 少し 値上げ した みたい 。	▁5 月から 少し 値上げ した みたい 。
337	-てい,-ており,-には	安楽区は清代に基隆堡と称されており、日本統治時代初期には大武崙庄、蚵殼港庄、外加內木山庄、大竿林庄が設置され基隆庁の管轄に置かれ清代の行政区域を踏襲していた。	▁安 楽 区は 清 代 に基 隆 堡 と称 するれるておる 、 日本 統治 時代 初 期には 大 武 崙 庄 、 蚵 殼 港 庄 、 外 加 內 木 山 庄 、 大 竿 林 庄 が設置 するれる 基 隆 庁 の 管 轄 に置 くれる 清 代の 行政 区域 を踏 襲 するているた 。	▁安楽 区は 清 代 に基 隆 堡 と称 するれるておる 、 日本 統治 時代 初 期には 大 武 崙 庄 、 蚵 殼 港 庄 、 外 加 內 木 山 庄 、 大 竿 林 庄 が設置するれる 基 隆 庁の 管轄 に置くれる 清 代の 行政区域 を踏襲 するているた 。	▁安楽 区は 清 代 に基 隆 堡 と称 するれるておる 、 日本 統治 時代 初 期には 大 武 崙 庄 、 蚵 殼 港 庄 、 外 加 內 木 山 庄 、 大 竿 林 庄が設置するれる 基 隆 庁の 管轄 に置くれる清 代の 行政区域を踏襲 するているた 。	▁安 楽 区は 清 代 に 基 隆 堡 と称 されており 、 日本 統治 時代 初 期には 大 武 崙 庄 、 蚵 殼 港 庄 、 外 加 內 木 山 庄 、 大 竿 林 庄 が設置 され 基 隆 庁 の 管 轄 に置 かれ 清 代の 行政 区域 を踏 襲 していた 。	▁安楽 区は 清 代 に 基隆 堡 と称 されており 、 日本 統治 時代 初 期には 大 武 崙 庄 、 蚵 殼 港 庄 、 外 加 內 木 山 庄 、 大 竿 林 庄 が設置され 基隆 庁の 管轄 に置かれ 清 代の 行政区域 を踏襲 していた 。	▁安楽 区は 清代に基隆堡 と称 されており 、 日本 統治 時代 初 期には 大 武 崙 庄 、 蚵 殼 港 庄 、 外 加 內 木 山 庄 、 大 竿 林庄が設置され 基隆庁の管轄 に置かれ清 代の 行政区域を踏襲 していた 。
338	-ではある,-ない,-に関する	物知りではあるが、自分に関する過去の記憶が一切ない。	▁ 物 知 りだ はあるが 、 自分 に関する 過去 の 記憶 が一 切 ない 。	▁物 知 りだ はあるが 、 自分 に関する 過去の 記憶 が一切 ない 。	▁物 知 りだ はあるが 、 自分 に関する 過去の記憶 が一切ない 。	▁ 物 知り ではあるが 、 自分 に関する 過去 の 記憶 が一 切 ない 。	▁物 知り ではあるが 、 自分 に関する 過去の 記憶 が一切 ない 。	▁物知り ではあるが 、 自分 に関する 過去の記憶 が一切ない 。
339	-では,-られ	1779年、ウィリアム・アンド・メアリー大学に新しく創られた法律学教授に指名され、アメリカ合衆国では最初の法律学教授となった。	▁17 79 年 、 ウィリアム ・ アンド ・ メ ア リー 大学 に新しい 創 るれるた 法律 学 教授 に 指名 するれる 、 アメリカ合衆国 では 最初の 法律 学 教授 となるた 。	▁17 79 年 、 ウィリアム ・ アンド ・ メ アリー 大学 に新しい 創 るれるた 法律学教授 に指名するれる 、 アメリカ合衆国 では 最初の 法律学教授 となるた 。	▁17 79 年 、 ウィリアム ・ アンド ・ メアリー大学 に新しい 創 るれるた 法律学教授 に指名するれる 、 アメリカ合衆国 では 最初の 法律学教授 となるた 。	▁17 79 年 、 ウィリアム ・ アンド ・ メ ア リー 大学 に新 しく 創 られた 法律 学 教授 に 指名 され 、 アメリカ合衆国 では 最初の 法律 学 教授 となった 。	▁17 79 年 、 ウィリアム ・ アンド ・ メ アリー 大学 に新 しく 創 られた 法律学教授 に指名され 、 アメリカ合衆国 では 最初の 法律学教授 となった 。	▁17 79 年 、 ウィリアム ・ アンド ・ メアリー大学 に新 しく 創 られた法律学教授 に指名され 、 アメリカ合衆国 では 最初の 法律学教授 となった 。
340	-ない	団地前が一般車両は入らない道路で安全。	▁ 団 地 前 が 一般 車両 は 入 るない 道路 で 安全 。	▁団 地 前 が 一般 車両は 入るない 道路 で 安全 。	▁団地前が一般 車両は 入るない道路で 安全 。	▁ 団 地 前 が 一般 車両 は 入 らない 道路 で 安全 。	▁団 地 前 が 一般 車両は 入らない 道路 で安全 。	▁団地前が一般 車両は入らない 道路 で安全 。
341	-てもらえ,-では,-もので	他では余してもらえない手触り感のヘアカラーは感動ものでした。	▁他 では 余 す てもら えるない 手 触 り 感 の ヘア カラー は 感動 ものだた 。	▁他 では 余 す てもら えるない 手 触り 感 の ヘア カラー は 感動 ものだた 。	▁他 では 余 す てもら えるない 手 触り 感 の ヘア カラー は 感動 ものだた 。	▁他 では 余 してもら えない 手 触 り 感 の ヘア カラー は 感動 もの でした 。	▁他 では 余 してもら えない 手 触 り 感 の ヘア カラー は 感動 ものでした 。	▁他 では 余 してもら えない 手 触 り 感 の ヘアカラーは感動 ものでした 。
342	-から,-しか,-てい,-んで,-んに	いつもインドカレー屋さんに行くとカレーを付けずに焼きたてのバターナンを食べて、それからたいていシュリンプカレーしか頼みませんでした。	▁いつも インド カレー 屋さん に行く とカ レー を 付ける ないて 焼 くた てる のバ ター ナ ンを 食べるて 、 それ から たい てい シュ リン プ カレー しか 頼む ますないでした 。	▁いつも インド カレー 屋さん に行く とカ レー を付ける ないて 焼 くたてる のバ ター ナ ンを食べるて 、 それから たいてい シュ リン プ カレー しか頼む ますないでした 。	▁いつも インド カレー 屋さん に行く とカレーを付ける ないて 焼くたてるのバ ター ナンを食べるて 、 それから たいていシュリン プ カレーしか頼む ますないでした 。	▁いつも インド カレー 屋さん に行 くと カレー を 付け ずに 焼 きた て のバ ター ナ ンを 食べて 、 それ から たい てい シュ リン プ カレー しか 頼み ませんでした 。	▁いつも インド カレー 屋さん に行くと カレー を付け ずに 焼 きたて のバ ター ナ ンを食べて 、 それから たいてい シュ リン プ カレー しか頼み ませんでした 。	▁いつも インド カレー 屋さん に行くと カレーを付け ずに焼きたてのバ ター ナンを食べて 、 それから たいていシュリン プ カレーしか頼み ませんでした 。
343	-ている,-では	新婚旅行では再びファーモイを訪れている。	▁新 婚 旅行 では 再び ファー モイ を訪 れるている 。	▁新 婚 旅行では 再び ファー モイ を訪 れるている 。	▁新 婚旅行では 再び ファー モイ を訪れるている 。	▁新 婚 旅行 では 再び ファー モイ を訪 れている 。	▁新 婚 旅行 では再び ファー モイ を訪 れている 。	▁新 婚旅行では再び ファー モイ を訪 れている 。
344	-って,-ており	神田川が地域東端を流れており、中野区と当地域の境となっている。	▁神 田 川 が 地域 東 端 を流 れるておる 、 中野 区と 当 地域の 境 となるている 。	▁神 田 川が 地域 東 端 を流 れるておる 、 中野 区と 当 地域の 境 となるている 。	▁神 田 川が 地域 東 端 を流 れるておる 、 中野 区と 当 地域の 境 となるている 。	▁神 田 川 が 地域 東 端 を流 れており 、 中野 区と 当 地域の 境 となっている 。	▁神 田 川が 地域 東 端 を流 れており 、 中野 区と 当 地域の 境 となっている 。	▁神 田 川が 地域 東 端 を流 れており 、 中野 区と 当 地域の 境 となっている 。
345	-てい,-ており,-でもある	魔石化した状態でガストラ皇帝が所持していたが、秘密裏にある場所へと安置されており、ロックが求める秘宝でもある。	▁ 魔 石 化するた 状態で ガ ストラ 皇帝 が 所 持 するているたが 、 秘密 裏 にある 場所 へと 安 置 するれるておる 、 ロック が求める 秘 宝 だもある 。	▁魔 石 化するた 状態で ガストラ 皇帝 が 所持 するているたが 、 秘密裏 にある 場所 へと 安置 するれるておる 、 ロック が求める 秘 宝 だもある 。	▁魔 石 化するた 状態でガストラ 皇帝 が 所持 するているたが 、 秘密裏にある 場所へと安置 するれるておる 、 ロック が求める 秘 宝 だもある 。	▁ 魔 石 化した 状態で ガ ストラ 皇帝 が 所 持 していたが 、 秘密 裏 にある 場所 へと 安 置 されており 、 ロック が求 める 秘 宝 でもある 。	▁魔 石 化した 状態で ガストラ 皇帝 が 所持 していたが 、 秘密裏 にある 場所 へと 安置 されており 、 ロック が求 める 秘 宝 でもある 。	▁魔 石 化した 状態でガストラ 皇帝 が 所持 していたが 、 秘密裏にある 場所 へと 安置されており 、 ロック が求 める 秘 宝 でもある 。
346	-ても,-なくていい,-には	緊張しなくていい環境は上がり症の私にはとても助かった。	▁ 緊張 するない てい い 環境 は 上がり 症 の私 には とても 助 かるた 。	▁ 緊張するない ていい 環境 は 上がり 症 の私 には とても 助 かるた 。	▁ 緊張するない ていい 環境 は 上がり 症 の私 には とても 助 かるた 。	▁ 緊張 し なく てい い 環境 は 上がり 症 の私 には とても 助 かった 。	▁ 緊張 し なく てい い 環境 は 上がり 症 の私 には とても 助 かった 。	▁ 緊張 し なく てい い 環境 は 上がり 症 の私 には とても 助 かった 。
347	-ている,-ではあっ,-でる	法戦は数日に及んだが、ついに道元の所見が優れていることを認め、道元の方が2歳年下ではあったが、師事を願いでる。	▁法 戦は 数 日に 及ぶ たが 、 ついに 道 元の 所 見 が 優れるている ことを 認める 、 道 元 の方が 2 歳 年 下 だは あるた が 、 師 事を 願う でる 。	▁法 戦は 数 日に 及ぶ たが 、 ついに 道 元の 所見 が 優れるている ことを 認める 、 道 元 の方が 2 歳 年 下 だは あるた が 、 師事を 願う でる 。	▁法 戦は 数 日に 及ぶ たが 、 ついに 道元の所見 が 優れるている ことを 認める 、 道 元 の方が 2 歳 年 下 だは あるた が 、 師事を願う でる 。	▁法 戦は 数 日に 及 んだが 、 ついに 道 元の 所 見 が 優れている ことを 認め 、 道 元 の方が 2 歳 年 下では あった が 、 師 事を 願 いで る 。	▁法 戦は 数 日に 及 んだが 、 ついに 道 元の 所見 が 優れている ことを 認め 、 道 元 の方が 2 歳 年 下では あった が 、 師事を 願 いで る 。	▁法 戦は 数 日に 及 んだが 、 ついに 道 元の 所見 が 優れている ことを 認め 、 道 元 の方が 2 歳 年 下では あった が 、 師事を 願 いで る 。
348	-きり,-ない	4安打9奪三振、三塁を踏ませない投球で槙原がこの1点を守りきり、西武を完封。	▁4 安打 9 奪 三振 、 三塁 を踏 む せるない 投 球 で 槙 原 がこの 1 点を 守る きる 、 西武 を 完 封 。	▁4 安打 9 奪 三振 、 三塁 を踏む せるない 投球 で 槙 原 がこの 1 点を 守る きる 、 西武 を 完封 。	▁4 安打 9 奪 三振 、 三塁を踏む せるない投球で 槙 原 がこの 1 点を 守る きる 、 西武 を 完封 。	▁4 安打 9 奪 三振 、 三塁 を踏 ませ ない 投 球 で 槙 原 がこの 1 点を 守 り きり 、 西武 を 完 封 。	▁4 安打 9 奪 三振 、 三塁 を踏 ませ ない 投 球で 槙 原 がこの 1 点を 守り きり 、 西武 を 完封 。	▁4 安打 9 奪 三振 、 三塁 を踏 ませ ない 投 球で 槙 原 がこの 1 点を 守り きり 、 西武 を 完封 。
349	-ている	「音楽写真家」を標榜している。	▁「 音楽 写真 家 」 を 標 榜 するている 。	▁「 音楽 写真 家 」 を標榜 するている 。	▁「 音楽 写真 家 」 を標榜 するている 。	▁「 音楽 写真 家 」 を 標 榜 している 。	▁「 音楽 写真 家 」 を標榜 している 。	▁「 音楽 写真 家 」 を標榜 している 。
350	-かも,-てい	しかも感染もしていて歯茎が腫れ上がったりと、本当に酷い目に遭いました。	▁しかも 感染 も するているて 歯 茎 が 腫 れ 上がるた りと 、 本当に 酷い 目に 遭 うますた 。	▁しかも 感染 も するているて 歯 茎 が腫 れ上がるた りと 、 本当に 酷い 目に遭うますた 。	▁しかも 感染 も するているて 歯茎が腫 れ上がるた りと 、 本当に 酷い 目に遭うますた 。	▁しかも 感染 も していて 歯 茎 が 腫 れ 上が ったり と 、 本当に 酷い 目に 遭 いました 。	▁しかも 感染 も していて 歯 茎 が腫 れ 上が ったりと 、 本当に 酷い 目に遭 いました 。	▁しかも 感染 も していて 歯茎が腫れ 上が ったりと 、 本当に 酷い 目に遭いました 。
351	-から,-って	始発は入間川発が4時50分、飯能発が3時20分、一方終発は入間川発が20時15分、飯能発が19時55分と、早朝から運転し始めて夜早く終了するダイヤとなっていた。	▁ 始 発は 入 間 川 発が 4 時 50 分 、 飯 能 発が 3 時 20 分 、 一方 終 発は 入 間 川 発が 20 時 15 分 、 飯 能 発が 19 時 55 分と 、 早朝 から 運転 する 始めるて 夜 早い 終了する ダイヤ となるているた 。	▁ 始 発は入間川発が 4 時 50 分 、 飯能発が 3 時 20 分 、 一方 終 発は入間川発が 20 時 15 分 、 飯能発が 19 時 55 分と 、 早朝 から運転 する 始めるて 夜 早い 終了する ダイヤ となるているた 。	▁ 始 発は入間川発が 4 時 50 分 、 飯能発が 3 時 20 分 、 一方 終 発は入間川発が 20 時 15 分 、 飯能発が 19 時 55 分と 、 早朝から運転 する 始めるて 夜 早い 終了する ダイヤ となるているた 。	▁ 始 発は 入 間 川 発が 4 時 50 分 、 飯 能 発が 3 時 20 分 、 一方 終 発は 入 間 川 発が 20 時 15 分 、 飯 能 発が 19 時 55 分と 、 早朝 から 運転 し 始めて 夜 早く 終了 する ダイヤ となっていた 。	▁ 始 発は 入間川発が 4 時 50 分 、 飯能発が 3 時 20 分 、 一方 終 発は 入間川発が 20 時 15 分 、 飯能発が 19 時 55 分と 、 早朝 から運転 し 始めて 夜 早く 終了する ダイヤ となっていた 。	▁ 始 発は入間川発が 4 時 50 分 、 飯能発が 3 時 20 分 、 一方 終 発は入間川発が 20 時 15 分 、 飯能発が 19 時 55 分と 、 早朝 から運転し始めて 夜 早く終了する ダイヤ となっていた 。
354	-から	ウラン濃縮プラント・プルトニウム生産炉の各巨大工場の建設、そしてオッペンハイマーが率いる優秀な科学者を全米から集め、アメリカの軍・産・学の総力を挙げた国家プロジェクトとなった。	▁ ウ ラン 濃 縮 プラン ト ・ プ ルト ニウム 生産 炉 の 各 巨大 工 場の 建設 、 そして オ ッ ペン ハイ マー が 率いる 優秀だ 科学 者を 全米 から 集める 、 アメリカの 軍 ・ 産 ・ 学 の 総 力を 挙げるた 国家 プロジェクト となるた 。	▁ウ ラン 濃縮 プラント ・ プ ルト ニウム 生産 炉の 各 巨大 工 場の 建設 、 そして オッ ペン ハイ マーが 率いる 優秀だ 科学 者を 全米 から 集める 、 アメリカの 軍 ・ 産 ・ 学の 総 力を 挙げるた 国家 プロジェクト となるた 。	▁ウラン濃縮 プラント ・ プ ルト ニウム 生産炉の各巨大 工 場の 建設 、 そしてオッ ペンハイマーが 率いる 優秀だ 科学 者を 全米 から 集める 、 アメリカの 軍 ・ 産 ・ 学の 総 力を 挙げるた 国家 プロジェクト となるた 。	▁ ウ ラン 濃 縮 プラン ト ・ プ ルト ニウム 生産 炉 の 各 巨大 工 場の 建設 、 そして オ ッ ペン ハイ マー が 率いる 優秀な 科学 者を 全米 から 集め 、 アメリカの 軍 ・ 産 ・ 学 の 総 力を 挙げた 国家 プロジェクト となった 。	▁ウ ラン 濃縮 プラント ・ プ ルト ニウム 生産 炉の 各 巨大 工 場の 建設 、 そして オッ ペン ハイ マーが 率いる 優秀な 科学 者を 全米 から 集め 、 アメリカの 軍 ・ 産 ・ 学の 総 力を 挙げた 国家 プロジェクト となった 。	▁ウラン濃縮 プラント ・ プ ルト ニウム 生産炉の各巨大 工 場の 建設 、 そしてオッ ペンハイマーが 率いる 優秀な 科学 者を 全米 から 集め 、 アメリカの 軍 ・ 産 ・ 学の 総 力を 挙げた 国家 プロジェクト となった 。
355	-から,-てます,-ので	自由が丘駅からすぐ近くにあるのでよく利用してます。	▁自由 が丘 駅から すぐ 近くにある ので よい 利用 するて ます 。	▁自由が丘 駅からすぐ 近くにある ので よい 利用するて ます 。	▁自由が丘 駅からすぐ 近くにある ので よい利用するて ます 。	▁自由 が丘 駅から すぐ 近くにある ので よく 利用 して ます 。	▁自由が丘 駅からすぐ 近くにある ので よく利用 してます 。	▁自由が丘 駅からすぐ 近くにある のでよく利用 してます 。
356	-かもしれません,-だっ,-では	コンサートや記者会見ではなく,素の状態だったせいもあるかもしれませんが。	▁ コンサート や 記者会見 だはない , 素 の状態 だた せ い もある かもしれるますない が 。	▁ コンサート や 記者会見 だはない , 素 の状態 だた せい もある かもしれるますない が 。	▁ コンサート や 記者会見 だはない , 素 の状態 だたせいもある かもしれるますないが 。	▁ コンサート や 記者会見 ではなく , 素 の状態 だった せい もある かもしれません が 。	▁ コンサート や 記者会見 ではなく , 素 の状態 だった せい もある かもしれません が 。	▁ コンサート や 記者会見 ではなく , 素 の状態 だった せい もある かもしれませんが 。
357	-ている,-では,-について	大会HPについては統一協会ではなく本部の実行委員会が作成しているそうだ。	▁ 大会 HP については 統一協会 だはない 本部の 実行 委員会が 作成 するている そうだ 。	▁大会 HP については 統一協会 だはない 本部の 実行 委員会が 作成 するている そうだ 。	▁大会 HP については 統一協会 だはない 本部の 実行 委員会が 作成 するているそうだ 。	▁ 大会 HP については 統一協会 ではなく 本部の 実行 委員会が 作成 している そうだ 。	▁大会 HP については 統一協会 ではなく 本部の 実行 委員会が 作成 している そうだ 。	▁大会 HP については 統一協会 ではなく 本部の実行 委員会が 作成 している そうだ 。
358	-って	まず店員一人で全部やってる事に無理がある。	▁まず 店員 一人で 全部 やるている 事に 無理 がある 。	▁まず 店員 一人で 全部 やるている 事に 無理 がある 。	▁まず 店員 一人で 全部 やるている 事に 無理 がある 。	▁まず 店員 一人で 全部 やって る 事に 無理 がある 。	▁まず 店員 一人で 全部 やって る 事に 無理 がある 。	▁まず 店員 一人で 全部 やって る 事に 無理 がある 。
359	-ている	7万5000人程度の増加を見込んだ市場予想を上回り、米景気が減速しているとの懸念がやや後退。	▁7 万 5000 人 程度の 増加 を見る 込むた 市場 予想 を上 回る 、 米 景 気が 減 速 するている との 懸念 が やや 後 退 。	▁7 万 5000 人程度の 増加 を見る込むた 市場予想 を上回る 、 米 景 気が 減速 するているとの 懸念が やや 後退 。	▁7 万 5000 人程度の増加 を見る込むた 市場予想を上回る 、 米 景 気が 減速 するているとの 懸念が やや 後退 。	▁7 万 5000 人 程度の 増加 を見 込んだ 市場 予想 を上 回り 、 米 景 気が 減 速 している との 懸念 が やや 後 退 。	▁7 万 5000 人程度の 増加 を見込んだ 市場予想を上 回り 、 米 景 気が 減速 しているとの 懸念が やや 後退 。	▁7 万 5000 人程度の増加 を見込んだ 市場予想を上 回り 、 米 景 気が 減速 しているとの 懸念が やや 後退 。
360	-ので	麺ももちろん美味しいのですが、このお店はスープが絶品!	▁麺 も もちろん 美味しい のだが 、 この お店は スープ が 絶 品 !	▁麺 も もちろん 美味しい のだが 、 この お店は スープ が絶 品 !	▁麺 も もちろん 美味しい のだが 、 この お店は スープが絶 品 !	▁麺 も もちろん 美味しい のですが 、 この お店は スープ が 絶品 !	▁麺 も もちろん 美味しい のですが 、 この お店は スープが 絶品 !	▁麺 も もちろん 美味しい のですが 、 この お店は スープが絶品 !
361	-ており	17年前にウィスラー王宮内で秘密裏に起きた“ある事件”に深く関与しており、自らの悲願を達成させる為、とある場所にてミネルバ達と対峙する。	▁17 年前に ウィ ス ラー 王 宮 内で 秘密 裏 に 起きるた “ ある 事件 ” に 深い 関与 するておる 、 自らの 悲 願 を達成 するせる 為 とある 場所 にて ミ ネル バ 達 と対 峙 する 。	▁17 年前に ウィス ラー 王宮 内で 秘密裏に 起きるた “ ある 事件 ” に深い 関与 するておる 、 自らの 悲 願 を達成 するせる 為 とある 場所 にて ミ ネルバ 達 と対 峙 する 。	▁17 年前に ウィスラー王宮 内で秘密裏に 起きるた “ ある 事件 ” に深い 関与 するておる 、 自らの 悲 願 を達成 するせる 為 とある 場所 にてミネルバ達 と対 峙 する 。	▁17 年前に ウィ ス ラー 王 宮 内で 秘密 裏 に 起きた “ ある 事件 ” に 深く 関与 しており 、 自らの 悲 願 を達成 させる 為 、 とある 場所 にて ミ ネル バ 達 と対 峙 する 。	▁17 年前に ウィス ラー 王宮 内で 秘密裏に 起きた “ ある 事件 ” に深く 関与 しており 、 自らの 悲 願 を達成 させる 為 、 とある 場所 にて ミ ネルバ 達 と対 峙 する 。	▁17 年前に ウィスラー王宮 内で秘密裏に 起きた “ ある 事件 ” に深く関与 しており 、 自らの 悲 願 を達成 させる 為 、 とある 場所 にてミネルバ達 と対 峙 する 。
362	-える,-です,-など	デートやコンパなどに使える居酒屋です。	▁デ ート や コンパ などに 使える 居酒屋 だ 。	▁デート や コンパ などに 使える 居酒屋 だ 。	▁デートや コンパ などに 使える 居酒屋 だ 。	▁デ ート や コンパ などに 使える 居酒屋 です 。	▁デート や コンパ などに 使える 居酒屋 です 。	▁デートや コンパ などに 使える 居酒屋 です 。
363	-てい	千葉県教育委員会は22日、公立学校教員5人が求めていた勤務評定の全面開示を認める決定をした。	▁ 千葉 県 教育 委員会 は 22 日 、 公立 学校 教 員 5 人が 求める ているた 勤務 評 定の 全面 開 示 を認める 決定 をするた 。	▁ 千葉県 教育 委員会は 22 日 、 公立学校 教員 5 人が 求める ているた 勤務 評 定の 全面 開示 を認める 決定 をするた 。	▁ 千葉県 教育委員会は 22 日 、 公立学校教員 5 人が 求める ているた 勤務 評 定の 全面 開示 を認める 決定 をするた 。	▁ 千葉 県 教育 委員会 は 22 日 、 公立 学校 教 員 5 人が 求 めていた 勤務 評 定の 全面 開 示 を認める 決定 をした 。	▁ 千葉県 教育 委員会は 22 日 、 公立学校 教員 5 人が 求 めていた 勤務 評 定の 全面 開示 を認める 決定 をした 。	▁ 千葉県 教育 委員会は 22 日 、 公立学校教員 5 人が 求 めていた 勤務 評 定の 全面開示 を認める 決定 をした 。
364	-でも,-られ	「ヒマラヤのケーキ」として、また「美術館の石畳」・チョコレート菓子「コーチンエッグ」・「ナゴヤプリン」・赤味噌を用いた「みそサブレ」などの特色ある商品でも知られた。	▁「 ヒ マラ ヤ の ケーキ 」 とするて 、 また 「 美術 館の 石 畳 」・ チョ コ レート 菓子 「 コーチ ン エ ッグ 」・ 「 ナ ゴ ヤ プリン 」・ 赤 味 噌 を用 いるた 「 み そ サ ブレ 」 などの 特 色 ある 商品 でも 知るれるた 。	▁「 ヒマラヤ の ケーキ 」 とするて 、 また 「 美術 館の 石 畳 」・ チョコレート 菓子 「 コーチ ン エッグ 」・ 「 ナ ゴ ヤ プリン 」・ 赤 味 噌 を用いるた 「 み そ サブレ 」 などの 特 色 ある 商品 でも 知るれるた 。	▁「 ヒマラヤのケーキ 」 とするて 、 また 「 美術 館の 石 畳 」・ チョコレート 菓子 「 コーチンエッグ 」・ 「 ナ ゴ ヤ プリン 」・ 赤 味噌を用いるた 「 み そ サブレ 」 などの 特 色 ある 商品 でも 知るれるた 。	▁「 ヒ マラ ヤ の ケーキ 」 として 、 また 「 美術 館の 石 畳 」・ チョ コ レート 菓子 「 コーチ ン エ ッグ 」・ 「 ナ ゴ ヤ プリン 」・ 赤 味 噌 を用 いた 「 み そ サ ブレ 」 などの 特 色 ある 商品 でも 知られた 。	▁「 ヒマラヤ の ケーキ 」 として 、 また 「 美術 館の 石 畳 」・ チョコレート 菓子 「 コーチ ン エッグ 」・ 「 ナ ゴ ヤ プリン 」・ 赤 味 噌 を用いた 「 み そ サブレ 」 などの 特 色 ある 商品 でも 知られた 。	▁「 ヒマラヤ の ケーキ 」 として 、 また 「 美術 館の 石 畳 」・ チョコレート菓子 「 コーチンエッグ 」・ 「 ナ ゴ ヤ プリン 」・ 赤味噌を用いた 「 み そ サブレ 」 などの 特 色 ある 商品 でも 知られた 。
365	-たことがあります,-てい,-です,-とか,-とる,-みたい	学生時代に電磁気学の実験で200V三相交流モーターと交流発電機を直結して、入出力比をとるというのをやったことがありますが、前世紀の学生実験のレベルですでに97%だとか98%みたいな効率が出ていた記憶があります。	▁ 学生 時代に 電 磁気 学 の実 験 で 200 V 三 相 交流 モーター と 交流 発電 機を 直 結 するて 、 入 出力 比 をとる という のを や るた ことがあるます が 、 前 世紀の 学生 実験 の レベル で すでに 9 7% だと か 98 % みたいだ 効率 が出 るているた 記憶 があるます 。	▁学生 時代に 電磁気 学 の実 験 で 200 V 三 相 交流 モーター と 交流 発電 機を 直結 するて 、 入出力 比 をとる というのを やるた ことがあるます が 、 前 世紀の 学生 実験 の レベル ですでに 97% だとか 98 % みたいだ 効率 が出 るているた 記憶 があるます 。	▁学生 時代に 電磁気 学 の実 験 で 200 V 三 相 交流 モーター と 交流発電機を直結 するて 、 入出力 比 をとる というのをやるた ことがあるます が 、 前 世紀の 学生 実験 のレベルですでに 97% だとか 98 % みたいだ 効率 が出 るているた 記憶 があるます 。	▁ 学生 時代に 電 磁気 学 の実 験 で 200 V 三 相 交流 モーター と 交流 発電 機を 直 結 して 、 入 出力 比 をと るという のを やった ことがあります が 、 前 世紀の 学生 実験 の レベル です でに 9 7% だと か 98 % みたいな 効率 が出 ていた 記憶 があります 。	▁学生 時代に 電磁気 学 の実 験 で 200 V 三 相 交流 モーター と 交流 発電 機を 直結 して 、 入出力 比 をと るという のを やった ことがあります が 、 前 世紀の 学生 実験 の レベル ですでに 97% だとか 98 % みたいな 効率 が出 ていた 記憶 があります 。	▁学生 時代に 電磁気 学 の実 験 で 200 V 三 相 交流 モーター と 交流 発電 機を直結して 、 入出力 比 をと るという のを やった ことがあります が 、 前 世紀の 学生 実験 のレベルですでに 97% だとか 98 % みたいな 効率 が出 ていた 記憶 があります 。
