id	affixes	text	en_ud2.bpe_12442.txt	en_ud2.bpe_24884.txt	en_ud2.bpe_49768.txt
75	-al,-ation,-ed,-en,-ence,-es,-ia,-ian,-le,-ry,an-,be-,re-	Many people still believe that to be true, even though the Ministry of Russian Federation on Civil Defence, Emergencies and Elimination of Conseguences of Natural Disasters (EMERCOM of Russia) reported this in 1996:	▁Many▁people ▁still ▁believe▁that ▁to▁be ▁true , ▁even▁though ▁the▁M in istry ▁of ▁Russian ▁Fed er ation ▁on ▁Civil ▁Defence , ▁E mer g enc ies▁and ▁E lim in ation▁of ▁Con se gu ences ▁of▁N atural ▁Dis asters ▁( EM ERC OM ▁of ▁Russia ) ▁reported ▁this ▁in ▁199 6 :	▁Many▁people ▁still ▁believe▁that ▁to▁be ▁true , ▁even▁though ▁the▁M in istry ▁of ▁Russian ▁Feder ation ▁on ▁Civil ▁Defence , ▁Emerg enc ies▁and ▁E lim in ation▁of ▁Con se gu ences ▁of▁N atural ▁Dis asters ▁( EM ERC OM ▁of ▁Russia ) ▁reported ▁this▁in ▁1996 :	▁Many▁people ▁still ▁believe▁that ▁to▁be▁true , ▁even▁though ▁the▁M inistry▁of ▁Russian ▁Federation ▁on ▁Civil ▁Defence , ▁Emerg encies▁and▁E lim in ation▁of ▁Con se guences▁of▁N atural ▁Disasters ▁( EMERCOM ▁of▁Russia ) ▁reported ▁this▁in ▁1996 :
77	-al,-ant,-ase,-cade,-ed,-en,-ent,-et,-hood,-in,-ion,-mer,-oid,-oma,-st,-wise,-yl,ac-,ad-,an-,at-,be-,con-,deca-,ex-,for-,in-,other-,re-,un-	In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.	▁In▁the ▁last ▁decade , ▁there ▁has▁been ▁a▁real ▁and ▁significant ▁increase▁in ▁child hood ▁and , ▁to ▁a▁certain ▁extent , ▁adult ▁car c in oma ▁of▁the ▁thy ro id ▁in ▁cont amin ated ▁regions ▁of▁the ▁former ▁S ov iet ▁Union ▁( W i 940 ) ▁which ▁should▁be ▁att ribut ed▁to▁the ▁Chernobyl ▁accident ▁until ▁proven ▁otherwise .	▁In▁the ▁last ▁decade , ▁there ▁has▁been ▁a▁real ▁and ▁significant ▁increase▁in ▁child hood ▁and , ▁to ▁a▁certain ▁extent , ▁adult ▁car c in oma ▁of▁the ▁thy roid ▁in ▁cont aminated ▁regions ▁of▁the ▁former ▁Soviet ▁Union ▁( W i 940 ) ▁which ▁should▁be ▁attribut ed▁to▁the ▁Chernobyl ▁accident ▁until ▁proven ▁otherwise .	▁In▁the▁last ▁decade , ▁there▁has▁been ▁a▁real ▁and ▁significant ▁increase▁in ▁childhood ▁and , ▁to▁a▁certain ▁extent , ▁adult ▁car c in oma ▁of▁the ▁thyroid▁in ▁cont aminated ▁regions ▁of▁the▁former ▁Soviet▁Union ▁( W i 940 ) ▁which ▁should▁be ▁attribut ed▁to▁the ▁Chernobyl ▁accident ▁until ▁proven ▁otherwise .
78	-al,-ant,-ation,-ed,-ency,-ergy,-es,-ian,-ic,-ious,-ly,-th,-yl,an-,in-,pre-,re-	The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.	▁The ▁pre st igious ▁I A EA ▁( In tern ational ▁At om ic ▁Energy ▁Agency ) ▁published ▁an ▁early ▁report ▁on ▁Chernobyl ▁which▁was ▁based▁on ▁information ▁from ▁Russian ▁sources ▁and ▁stated ▁that ▁there▁was▁no ▁significant ▁health ▁effect s .	▁The ▁prest igious ▁IAEA ▁( In ternational ▁Atomic ▁Energy▁Agency ) ▁published ▁an ▁early ▁report ▁on ▁Chernobyl ▁which▁was ▁based▁on ▁information ▁from ▁Russian ▁sources ▁and ▁stated▁that ▁there▁was▁no ▁significant ▁health ▁effects .	▁The ▁prestigious ▁IAEA ▁( International ▁Atomic ▁Energy▁Agency ) ▁published ▁an▁early ▁report ▁on▁Chernobyl ▁which▁was ▁based▁on ▁information ▁from ▁Russian ▁sources▁and ▁stated▁that ▁there▁was▁no ▁significant ▁health ▁effects .
79	-ed,-en,-ent,-er,-yl,af-,contra-,re-	However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.	▁However , ▁in▁April ▁2001, ▁the ▁I A EA ▁published ▁F if teen ▁Year s ▁after▁the ▁Chernobyl ▁Acc ident ▁- ▁L ess ons ▁learn ed . ▁which ▁cont radict ▁the ▁earlier ▁reports .	▁However , ▁in▁April ▁2001, ▁the ▁IAEA ▁published ▁F if teen ▁Years ▁after▁the ▁Chernobyl ▁Acc ident ▁- ▁Less ons ▁learned . ▁which ▁contradict ▁the ▁earlier ▁reports .	▁However , ▁in▁April ▁2001, ▁the▁IAEA ▁published ▁F if teen▁Years ▁after▁the ▁Chernobyl ▁Acc ident ▁- ▁Lessons▁learned . ▁which ▁contradict ▁the ▁earlier ▁reports .
80	-ome,ex-	Here are some excerpts:	▁Here ▁are▁some ▁exc er pt s :	▁Here▁are▁some ▁excerpt s :	▁Here▁are▁some ▁excerpts :
81	-ase,-ed,-en,-es,-ia,-ic,-ine,-oid,ad-,an-,be-,con-,in-,radi-	The dramatic increase in radiation-induced thyroid cancers in children and adolescents in Belarus, Russia, and Ukraine, which have been observed since 1991, continues to this day.	▁The ▁dramatic ▁increase▁in ▁radiation - indu ced ▁thy ro id ▁can c ers▁in ▁children ▁and ▁ad oles cent s▁in ▁Bel ar us , ▁Russia , ▁and▁U k raine , ▁which ▁have▁been ▁observ ed ▁since ▁199 1, ▁continues ▁to▁this ▁day .	▁The ▁dramatic ▁increase▁in ▁radiation - indu ced ▁thy roid ▁canc ers▁in ▁children▁and ▁ad oles cent s▁in ▁Bel arus , ▁Russia , ▁and▁Ukraine , ▁which ▁have▁been ▁observ ed ▁since ▁199 1, ▁continues ▁to▁this▁day .	▁The ▁dramatic ▁increase▁in ▁radiation - indu ced ▁thyroid ▁cancers▁in ▁children▁and ▁adolescent s▁in ▁Belarus , ▁Russia , ▁and▁Ukraine , ▁which ▁have▁been ▁observ ed ▁since ▁199 1, ▁continues ▁to▁this▁day .
82	-al,-ancy,-ase,-ate,-ation,-ing,-ive,-th,an-,bi-,com-,de-,in-,neo-,pre-,re-	...a drop in the birth rate, a deterioration in women's reproductive health, an increase in complications during pregnancy and birth, and a deterioration in neonatal health....	▁... a ▁drop ▁in▁the ▁birth ▁rate , ▁a ▁deterior ation▁in ▁women ' s ▁rep ro duct ive ▁health , ▁an ▁increase▁in ▁complic ations ▁during ▁pregn ancy ▁and ▁birth , ▁and▁a ▁deterior ation▁in ▁ne on atal ▁health ....	▁... a ▁drop ▁in▁the ▁birth ▁rate , ▁a ▁deterior ation▁in ▁women ' s ▁repro duct ive ▁health , ▁an ▁increase▁in ▁complic ations ▁during ▁pregn ancy ▁and ▁birth , ▁and▁a ▁deterior ation▁in ▁neon atal ▁health ....	▁... a ▁drop ▁in▁the ▁birth▁rate , ▁a▁deterior ation▁in ▁women ' s ▁repro duct ive ▁health , ▁an▁increase▁in ▁complic ations ▁during ▁pregnancy ▁and ▁birth , ▁and▁a ▁deterior ation▁in ▁neonatal ▁health ....
83	-ability,-ate,-ative,-ed,-ee,-en,-ent,-er,-es,-ia,-ics,-ine,-ing,-ity,-ly,-th,-yl,ac-,af-,al-,an-,co-,dis-,in-,post-,re-	The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus, Russia, and Ukraine - in the post-accident period is characterized by persistent negative tendencies: the morbidity rate is going up, the number of really healthy children is dropping, and disability is increasing .	▁The▁d y nam ic s▁of ▁change ▁in▁the ▁state▁of ▁health ▁of ▁children ▁affect ed▁by▁the ▁Chernobyl ▁accident ▁in▁all ▁three ▁countries ▁- ▁Bel ar us , ▁Russia , ▁and▁U k raine ▁- ▁in▁the ▁post - acc ident ▁period ▁is ▁character iz ed▁by ▁pers istent ▁negative ▁tend encies : ▁the▁m or b id ity ▁rate ▁is▁going ▁up , ▁the▁number▁of ▁really ▁healthy ▁children ▁is ▁dro pping , ▁and ▁disability ▁is ▁incre asing ▁.	▁The▁d y namic s▁of ▁change▁in▁the ▁state▁of ▁health ▁of▁children ▁affect ed▁by▁the ▁Chernobyl ▁accident ▁in▁all ▁three ▁countries ▁- ▁Bel arus , ▁Russia , ▁and▁Ukraine ▁- ▁in▁the▁post - accident ▁period▁is ▁character ized▁by ▁persistent ▁negative ▁tend encies : ▁the▁m or bid ity ▁rate ▁is▁going ▁up , ▁the▁number▁of ▁really ▁healthy ▁children ▁is ▁dropping , ▁and ▁disability ▁is ▁increasing ▁.	▁The▁dynamic s▁of ▁change▁in▁the ▁state▁of ▁health ▁of▁children ▁affect ed▁by▁the ▁Chernobyl ▁accident ▁in▁all ▁three ▁countries ▁- ▁Belarus , ▁Russia , ▁and▁Ukraine ▁- ▁in▁the▁post - accident ▁period▁is ▁character ized▁by ▁persistent ▁negative ▁tend encies : ▁the▁m orbidity▁rate ▁is▁going▁up , ▁the▁number▁of ▁really ▁healthy ▁children ▁is ▁dropping , ▁and ▁disability ▁is▁increasing ▁.
84	-an,-ation,-en,-ent,-es,-ful,-ine,-ing,-or,-ose,-st,im-,par-,radi-	As a parent, I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning.	▁As ▁a▁p arent , ▁I▁can ▁well ▁imagine ▁how ▁pain ful ▁it ▁must▁be ▁for▁those ▁families ▁whose ▁children ▁are ▁succ umb ing▁to ▁radiation ▁poison ing .	▁As ▁a▁p arent , ▁I▁can ▁well ▁imagine ▁how ▁painful ▁it▁must▁be ▁for▁those ▁families ▁whose ▁children ▁are ▁succ umb ing▁to ▁radiation ▁poison ing .	▁As▁a▁parent , ▁I▁can ▁well ▁imagine▁how ▁painful ▁it▁must▁be ▁for▁those ▁families ▁whose ▁children▁are ▁succumb ing▁to ▁radiation ▁poisoning .
85	-yl,ab-	There is a lot to learn about Chernobyl.	▁There▁is▁a ▁lot ▁to▁learn ▁about ▁Chernobyl .	▁There▁is▁a ▁lot ▁to▁learn ▁about ▁Chernobyl .	▁There▁is▁a ▁lot ▁to▁learn ▁about ▁Chernobyl .
86	-able,-ed,-ing,-ive,-ty,an-,con-,de-,re-,well-	Being well-informed will give you certainty and that is desirable in a world of conflicting reports.	▁Be ing ▁well - in form ed ▁will ▁give▁you ▁certain ty ▁and ▁that▁is ▁des ir able ▁in▁a ▁world▁of ▁conflict ing ▁reports .	▁Being ▁well - in formed ▁will▁give▁you ▁certain ty ▁and ▁that▁is ▁des irable ▁in▁a ▁world▁of ▁conflict ing ▁reports .	▁Being▁well - informed ▁will▁give▁you ▁certainty ▁and ▁that▁is ▁desirable ▁in▁a▁world▁of ▁conflicting ▁reports .
87	-es,-th,-yl,re-	There are a wealth of references on Chernobyl.	▁There▁are ▁a ▁wealth ▁of ▁re ferences ▁on ▁Chernobyl .	▁There▁are ▁a ▁wealth ▁of ▁references ▁on ▁Chernobyl .	▁There▁are ▁a▁wealth▁of ▁references ▁on▁Chernobyl .
88	-ad,-ing,-ome,an-,con-	Read some of the following links and draw your own conclusions.	▁Read ▁some▁of▁the ▁following ▁links ▁and ▁draw ▁your▁own ▁con clusions .	▁Read ▁some▁of▁the ▁following ▁links▁and ▁draw ▁your▁own ▁conclusions .	▁Read ▁some▁of▁the ▁following ▁links▁and ▁draw ▁your▁own ▁conclusions .
89	-ed,-ent,-ese,-ist,-ster,-yl,ab-,an-,dis-,ex-,pre-	These links present the many viewpoints that existed and still exist about the disaster called Chernobyl:	▁These ▁links ▁present ▁the ▁many ▁view point s▁that ▁exist ed▁and ▁still ▁exist ▁about▁the ▁disaster ▁called ▁Chernobyl :	▁These ▁links ▁present ▁the ▁many ▁viewpoint s▁that ▁exist ed▁and ▁still ▁exist ▁about▁the ▁disaster ▁called ▁Chernobyl :	▁These ▁links ▁present▁the ▁many ▁viewpoint s▁that ▁exist ed▁and ▁still ▁exist ▁about▁the ▁disaster ▁called ▁Chernobyl :
90	-ed	IAEA Report Lessons learned	▁I A EA ▁Report ▁L ess ons ▁learn ed	▁IAEA ▁Report ▁Less ons ▁learned	▁IAEA▁Report ▁Lessons▁learned
97	-yl	http://www.collectinghistory.net/chernobyl/	▁http :// www . c ollect ing hist ory . net / chernobyl /	▁http :// www . collect ing history . net / chernobyl /	▁http :// www . collect inghistory . net / chernobyl /
102	-yl	http://www.un.org/ha/chernobyl/	▁http :// www . un . org / ha / chernobyl /	▁http :// www . un . org / ha / chernobyl /	▁http :// www . un . org / ha / chernobyl /
112	-en	http://www.chernobyl.info/en	▁http :// www . chernobyl . inf o / en	▁http :// www . chernobyl . info / en	▁http :// www . chernobyl . info / en
116	-ed,-ing,-st,an-,con-,inter-,re-	I would be interested in hearing what conclusions you reached and what you found that was most convincing.	▁I▁would▁be ▁interested▁in ▁hearing ▁what ▁con clusions ▁you ▁reached ▁and ▁what▁you ▁found ▁that▁was ▁most ▁convinc ing .	▁I▁would▁be ▁interested▁in ▁hearing ▁what ▁conclusions ▁you ▁reached ▁and ▁what▁you ▁found ▁that▁was ▁most ▁convincing .	▁I▁would▁be ▁interested▁in ▁hearing ▁what ▁conclusions ▁you ▁reached▁and ▁what▁you ▁found ▁that▁was ▁most ▁convincing .
117	-ation,radi-	radiation:	▁radiation :	▁radiation :	▁radiation :
118	-ad,-ation,-ed,-en,-est,-ey,-id,-ion,-ive,-ped,-th,-ular,an-,be-,en-,radi-	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy (primitive at best!) and stopped when a lesion on my neck started enlarging--they said it was not CA but stopped the treatments....	▁As▁a ▁child ▁in▁the ▁50 ' s ▁I▁had ▁a▁lot▁of ▁g land ular ▁problem s▁and ▁they ▁treat ed▁it ▁with ▁radiation ▁therap y ▁( pr im itive ▁at▁best !) ▁and ▁stopped ▁when ▁a▁l es ion ▁on▁my ▁neck ▁started ▁en l arg ing -- they ▁said▁it▁was ▁not ▁CA ▁but ▁stopp ed▁the ▁treatments ....	▁As▁a ▁child ▁in▁the ▁50 ' s ▁I▁had ▁a▁lot▁of ▁g land ular ▁problem s▁and▁they ▁treat ed▁it ▁with ▁radiation ▁therapy ▁( pr im itive ▁at▁best !) ▁and ▁stopped ▁when ▁a▁l esion ▁on▁my ▁neck ▁started ▁en l arg ing -- they ▁said▁it▁was▁not ▁CA ▁but ▁stopp ed▁the ▁treatments ....	▁As▁a ▁child ▁in▁the ▁50 ' s ▁I▁had ▁a▁lot▁of ▁glandular ▁problem s▁and▁they ▁treated▁it ▁with ▁radiation ▁therapy ▁( pr im itive ▁at▁best !) ▁and ▁stopped ▁when ▁a▁lesion ▁on▁my▁neck ▁started ▁en l arg ing -- they ▁said▁it▁was▁not ▁CA ▁but ▁stopped▁the ▁treatments ....
119	-ation,-er,-es,-ing,for-,radi-	Remember the old shoe sizing machines that was a form of radiation xray?	▁Remember ▁the▁old ▁sh oe ▁s izing ▁mach ines ▁that ▁was▁a ▁form▁of ▁radiation ▁x r ay ?	▁Remember ▁the▁old ▁shoe ▁s izing ▁mach ines ▁that▁was▁a ▁form▁of ▁radiation ▁x ray ?	▁Remember ▁the▁old ▁shoe ▁s izing ▁machines ▁that▁was▁a ▁form▁of ▁radiation ▁xray ?
120	-ped,to-	That too was stopped.	▁That ▁too ▁was ▁stopped .	▁That ▁too ▁was ▁stopped .	▁That▁too ▁was ▁stopped .
121	-an,-ation,-ing,-one,-ont,-tion,-yl,ab-,an-,radi-	Don't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks--there can be no doubts about the effects of radiation in Chernobyl.......	▁Don ' t ▁have▁to ▁mention ▁what ▁radiation ▁has▁done ▁and▁is ▁still ▁do ing▁to ▁H ir so h ima ▁& ▁N ag ask i ▁folks -- there ▁can▁be ▁no ▁doub ts ▁about▁the ▁effect s▁of ▁radiation ▁in ▁Chernobyl .......	▁Don ' t▁have▁to ▁mention ▁what ▁radiation ▁has▁done ▁and▁is ▁still ▁do ing▁to ▁H ir so h ima ▁& ▁N ag ask i ▁folks -- there ▁can▁be ▁no ▁doubts ▁about▁the ▁effects▁of ▁radiation ▁in ▁Chernobyl .......	▁Don ' t▁have▁to ▁mention ▁what ▁radiation ▁has▁done ▁and▁is ▁still ▁doing▁to▁H irsohima ▁& ▁N ag ask i ▁folks -- there▁can▁be ▁no▁doubts ▁about▁the ▁effects▁of ▁radiation ▁in ▁Chernobyl .......
122	-al,-en,-ion,-yl,off-,re-	The Chernobyl Children's Project (http://www.adiccp.org/home/default.asp) offers several ways to help the children of that region.	▁The ▁Chernobyl ▁Ch ild ren ' s ▁Project ▁( http :// www . ad ic c p . org / h ome / def ault . asp ) ▁offers ▁several ▁ways ▁to▁help ▁the ▁children ▁of▁that ▁region .	▁The ▁Chernobyl ▁Child ren ' s ▁Project ▁( http :// www . adic c p . org / home / default . asp ) ▁offers ▁several ▁ways ▁to▁help▁the ▁children ▁of▁that ▁region .	▁The ▁Chernobyl ▁Child ren ' s ▁Project ▁( http :// www . adiccp . org / home / default . asp ) ▁offers ▁several ▁ways ▁to▁help▁the ▁children ▁of▁that ▁region .
123	-an,-ation,-ein,-est,-gram,-mer,-ome,-or,an-,com-	One of them is the Rest and Recuperation Program, wherein a child can come to the US for a few weeks in the summer.	▁One ▁of▁them ▁is▁the ▁Rest ▁and ▁Rec u per ation ▁Program , ▁where in ▁a ▁child ▁can ▁come ▁to▁the▁US ▁for▁a ▁few ▁weeks ▁in▁the ▁summer .	▁One ▁of▁them ▁is▁the ▁Rest ▁and ▁Rec uper ation ▁Program , ▁where in ▁a▁child ▁can ▁come ▁to▁the▁US ▁for▁a▁few▁weeks ▁in▁the▁summer .	▁One▁of▁them ▁is▁the ▁Rest ▁and▁Recuper ation▁Program , ▁where in ▁a▁child▁can ▁come ▁to▁the▁US ▁for▁a▁few▁weeks ▁in▁the▁summer .
124	-al,-an,-ed,-en,-ent,-es,-ing,-le,-some,ad-,re-,un-	Even a little time spent receiving wholesome, uncontaminated food, good medical care, etc. can add years to their lives.	▁Even ▁a▁little ▁time ▁spent ▁receiv ing ▁wh oles ome , ▁unc ont amin ated ▁food , ▁good ▁medical ▁care , ▁etc . ▁can ▁add ▁years ▁to▁their ▁lives .	▁Even ▁a▁little ▁time ▁spent ▁receiving ▁wh oles ome , ▁unc ont aminated ▁food , ▁good ▁medical▁care , ▁etc . ▁can ▁add ▁years ▁to▁their ▁lives .	▁Even ▁a▁little ▁time ▁spent ▁receiving ▁wh oles ome , ▁unc ontaminated ▁food , ▁good ▁medical▁care , ▁etc . ▁can ▁add ▁years ▁to▁their ▁lives .
125	-al,-ance,-art,-ed,-ee,-en,-es,-ese,-le,-or,ac-,an-,on-	S. and I have an acquaintance who has hosted several of these children for many years; to see these little ones breaks the heart.	▁S . ▁and▁I▁have ▁an ▁acqu aint ance ▁who▁has ▁host ed ▁several ▁of▁these ▁children ▁for ▁many▁years ; ▁to▁see ▁these ▁little▁ones ▁breaks ▁the ▁heart .	▁S . ▁and▁I▁have ▁an ▁acqu aint ance ▁who▁has ▁host ed ▁several ▁of▁these ▁children ▁for▁many▁years ; ▁to▁see ▁these ▁little▁ones ▁breaks ▁the ▁heart .	▁S . ▁and▁I▁have ▁an▁acquaint ance ▁who▁has ▁host ed ▁several ▁of▁these ▁children ▁for▁many▁years ; ▁to▁see ▁these ▁little▁ones ▁breaks ▁the▁heart .
126	-er,-es,-ful,-ing,-most,-or,al-,an-,over-,prot-,ur-	The urge to protect and gather them all in is almost overwhelming, and makes me more grateful for the blessings I have.	▁The ▁ur ge ▁to ▁protect ▁and▁g ather ▁them ▁all ▁in ▁is ▁almost ▁overwhelming , ▁and ▁makes ▁me ▁more ▁grateful ▁for▁the ▁bless ings ▁I▁have .	▁The ▁urge ▁to ▁protect ▁and▁g ather ▁them ▁all▁in ▁is ▁almost ▁overwhelming , ▁and▁makes ▁me ▁more ▁grateful ▁for▁the ▁bless ings ▁I▁have .	▁The ▁urge▁to ▁protect ▁and▁g ather ▁them▁all▁in ▁is ▁almost ▁overwhelming , ▁and▁makes ▁me ▁more ▁grateful ▁for▁the ▁bless ings ▁I▁have .
128	-ed,-en,-ory,-ry,be-,re-	I'm sorry to say Elena's story has been revealed to be a fake.	▁I ' m ▁sorry ▁to▁say ▁Elena ' s ▁story ▁has▁been ▁reveal ed▁to▁be ▁a▁f ake .	▁I ' m▁sorry ▁to▁say ▁Elena ' s▁story ▁has▁been ▁reveal ed▁to▁be ▁a▁f ake .	▁I ' m▁sorry ▁to▁say ▁Elena ' s▁story ▁has▁been ▁reveal ed▁to▁be ▁a▁f ake .
129	-an,-en,-es,-in,-ing,-ization,-ship,ab-,al-,an-,re-,to-	What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?	▁What▁do ▁the▁new ▁al - Qaeda ▁vide ot ape ▁and▁a ud io ▁spe ec he s▁of ▁Bin▁Laden ▁and ▁Ayman ▁al - Zawahiri ▁tell ▁us ▁about▁the ▁hopes ▁of▁the ▁remain ing▁to p ▁leadership ▁of▁the ▁organization ?	▁What▁do ▁the▁new ▁al - Qaeda ▁vide otape ▁and▁a ud io ▁spe ec he s▁of ▁Bin▁Laden ▁and ▁Ayman ▁al - Zawahiri ▁tell▁us ▁about▁the ▁hopes ▁of▁the ▁remain ing▁to p ▁leadership ▁of▁the ▁organization ?	▁What▁do ▁the▁new ▁al - Qaeda ▁videotape ▁and▁a ud io ▁spe ec he s▁of ▁Bin▁Laden▁and ▁Ayman▁al - Zawahiri ▁tell▁us ▁about▁the ▁hopes ▁of▁the ▁remain ing▁to p ▁leadership ▁of▁the ▁organization ?
130	-an,-ed,-en,-in,-le,-ose,-th,-ture,ab-,al-,an-,com-,con-,mid-,to-	Because the US and Pakistan have managed to capture or kill about 2/3s of the top 25 al-Qaeda commanders, the middle managers are not in close contact with al-Zawahiri and Bin Laden.	▁Because ▁the▁US ▁and ▁Pakistan ▁have ▁manag ed▁to ▁capt ure ▁or ▁kill ▁about ▁2 / 3 s▁of▁the ▁top ▁25 ▁al - Qaeda ▁command ers , ▁the▁m iddle ▁manag ers ▁are▁not ▁in ▁close ▁contact ▁with ▁al - Zawahiri ▁and▁B in▁Laden .	▁Because ▁the▁US ▁and▁Pakistan ▁have ▁manag ed▁to ▁capture ▁or ▁kill ▁about ▁2/3 s▁of▁the ▁top ▁25 ▁al - Qaeda ▁commanders , ▁the▁middle ▁managers ▁are▁not ▁in ▁close ▁contact▁with ▁al - Zawahiri ▁and▁B in▁Laden .	▁Because ▁the▁US ▁and▁Pakistan ▁have▁managed▁to ▁capture ▁or ▁kill ▁about ▁2/3 s▁of▁the ▁top ▁25 ▁al - Qaeda ▁commanders , ▁the▁middle ▁managers ▁are▁not ▁in▁close ▁contact▁with ▁al - Zawahiri ▁and▁B in▁Laden .
131	-al,-es	The tape was a way to signal priorities.	▁The ▁t ape ▁was▁a ▁way▁to ▁sign al ▁prior ities .	▁The ▁tape ▁was▁a ▁way▁to ▁signal ▁priorities .	▁The ▁tape ▁was▁a ▁way▁to ▁signal ▁priorities .
132	-ad,-ade,-an,-ary,-ate,-ed,-en,-ent,-es,-ese,-st,-th,ag-,al-,an-,co-,over-,pre-	"These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military ""president"" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda."	"▁These▁are ▁1) ▁Ass ass in ate ▁or ▁overth row ▁Gen . ▁Pervez ▁Musharraf , ▁the ▁Pakistani ▁military ▁"" p resident "" ▁who▁had ▁made ▁a▁c oup ▁in ▁1999 ▁and▁has ▁thrown ▁in▁his ▁lot ▁with▁the ▁United▁States ▁against▁the ▁Taliban ▁and ▁al - Qaeda ."	"▁These▁are ▁1) ▁Ass ass inate ▁or ▁overthrow ▁Gen . ▁Pervez ▁Musharraf , ▁the ▁Pakistani ▁military ▁"" president "" ▁who▁had ▁made ▁a▁coup ▁in ▁1999 ▁and▁has ▁thrown ▁in▁his ▁lot ▁with▁the ▁United▁States ▁against▁the ▁Taliban ▁and▁al - Qaeda ."	"▁These▁are ▁1) ▁Ass assinate▁or ▁overthrow ▁Gen . ▁Pervez ▁Musharraf , ▁the ▁Pakistani ▁military ▁"" president "" ▁who▁had ▁made▁a▁coup ▁in ▁1999 ▁and▁has ▁thrown ▁in▁his ▁lot ▁with▁the ▁United▁States ▁against▁the ▁Taliban ▁and▁al - Qaeda ."
133	-en,-er,-ial,-ing,al-,be-,cor-,off-,sub-,sym-	Musharraf has been trying to purge his officer corps of the substantial number of al-Qaeda sympathizers.	▁Musharraf ▁has▁been ▁trying▁to ▁pur ge ▁his ▁officer ▁c orp s▁of▁the ▁substantial ▁number▁of ▁al - Qaeda ▁sympath izers .	▁Musharraf ▁has▁been ▁trying▁to ▁pur ge ▁his ▁officer ▁corp s▁of▁the ▁substantial ▁number▁of ▁al - Qaeda ▁sympath izers .	▁Musharraf ▁has▁been ▁trying▁to ▁pur ge ▁his ▁officer ▁corp s▁of▁the ▁substantial ▁number▁of ▁al - Qaeda ▁sympathizers .
134	-ad,-ary,-ed,-ence,-er,-es,-id,-ly,-or,al-,an-,in-,ov-	His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad, as well as nearly 500 other al-Qaeda operatives, over 400 of whom the Pakistanis have turned over to the US.	▁His ▁military ▁intelligence ▁has ▁captured ▁major ▁figures ▁like ▁Ab u ▁Z ub ay da ▁and ▁Khalid ▁Sh ay kh ▁Muham mad , ▁as▁well▁as ▁nearly ▁500 ▁other ▁al - Qaeda ▁oper atives , ▁over ▁4 00 ▁of▁whom ▁the ▁Pakistan is ▁have ▁turn ed▁over ▁to▁the▁US .	▁His ▁military ▁intelligence ▁has ▁captured ▁major ▁figures ▁like ▁Abu ▁Z ub ay da ▁and ▁Khalid ▁Sh ay kh ▁Muhammad , ▁as▁well▁as ▁nearly ▁500 ▁other ▁al - Qaeda ▁oper atives , ▁over ▁400 ▁of▁whom ▁the ▁Pakistan is ▁have ▁turn ed▁over ▁to▁the▁US .	▁His ▁military ▁intelligence ▁has ▁captured ▁major ▁figures ▁like ▁Abu▁Zubay da ▁and ▁Khalid▁Shay kh▁Muhammad , ▁as▁well▁as ▁nearly ▁500 ▁other ▁al - Qaeda ▁operatives , ▁over ▁400 ▁of▁whom ▁the ▁Pakistanis ▁have ▁turned▁over ▁to▁the▁US .
135	-ent,-er,-es,-id,-ious,-ist,-ly,-ment,-tion,-ty,cent-,co-,di-,par-,re-	Musharraf held elections in October of 2002, in which center-right parties did well, but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition, MMA.	▁Musharraf ▁held ▁elections ▁in ▁October ▁of ▁2002, ▁in▁which ▁center - right ▁parties ▁did ▁well , ▁but ▁in▁which ▁nearly ▁20 ▁percent ▁of ▁par liament ▁se ats ▁went ▁to▁the ▁fundamental ist ▁religious ▁party ▁co alition , ▁M MA .	▁Musharraf ▁held ▁elections ▁in▁October ▁of ▁2002, ▁in▁which ▁center - right ▁parties ▁did ▁well , ▁but ▁in▁which ▁nearly ▁20 ▁percent ▁of ▁parliament ▁seats ▁went▁to▁the ▁fundamentalist ▁religious ▁party ▁coalition , ▁MMA .	▁Musharraf ▁held ▁elections ▁in▁October ▁of ▁2002, ▁in▁which ▁center - right ▁parties ▁did ▁well , ▁but ▁in▁which ▁nearly ▁20 ▁percent▁of ▁parliament ▁seats ▁went▁to▁the ▁fundamentalist ▁religious ▁party ▁coalition , ▁MMA .
